taskInfos_1,taskInfos_2,taskInfos_3,taskInfos_4,score_binary_1,score_binary_2,score_binary_3,score_binary_4,score_binary_5,score_binary_6,score_binary_7,score_binary_8,score_binary_9,score_binary_10,score_binary_11,score_binary_12,score_binary_13,score_binary_14,score_binary_15,score_binary_16,score_binary_17,score_binary_18,score_binary_19,score_binary_20,score_binary_21,score_binary_22,score_binary_23,score_binary_24,score_binary_25,score_binary_26,score_binary_27,score_binary_28,score_binary_29,score_binary_30,score_binary_31,score_binary_32
"97","Glycine degradation","AMINO ACIDS METABOLISM","GLYCINE METABOLISM",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"98","Conversion of glycine to pyruvate","AMINO ACIDS METABOLISM","GLYCINE METABOLISM",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"100","Histidine degradation","AMINO ACIDS METABOLISM","HISTIDINE METABOLISM",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"101","Conversion of histidine to glutamate","AMINO ACIDS METABOLISM","HISTIDINE METABOLISM",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"102","Conversion of histidine to histamine","AMINO ACIDS METABOLISM","HISTIDINE METABOLISM",0,1,1,1,0,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1
"104","Homocysteine synthesis (need methionine)","AMINO ACIDS METABOLISM","HOMOCYSTEINE METABOLISM",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"105","Homocysteine degradation","AMINO ACIDS METABOLISM","HOMOCYSTEINE METABOLISM",0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"107","Isoleucine degradation","AMINO ACIDS METABOLISM","ISOLEUCINE METABOLISM",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"109","Leucine degradation","AMINO ACIDS METABOLISM","LEUCINE METABOLISM",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"110","Conversion of leucine to acetyl-coA","AMINO ACIDS METABOLISM","LEUCINE METABOLISM",1,1,0,0,1,1,1,0,0,1,0,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1
"112","Lysine degradation","AMINO ACIDS METABOLISM","LYSINE METABOLISM",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"113","Conversion of lysine to L-Saccharopine","AMINO ACIDS METABOLISM","LYSINE METABOLISM",1,1,0,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
"114","Conversion of lysine to L-2-Aminoadipate","AMINO ACIDS METABOLISM","LYSINE METABOLISM",0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"116","Methionine degradation","AMINO ACIDS METABOLISM","METHIONINE METABOLISM",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"117","S-adenosyl-L-methionine synthesis","AMINO ACIDS METABOLISM","METHIONINE METABOLISM",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"118","Ornithine degradation","AMINO ACIDS METABOLISM","ORNITHINE METABOLISM",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"119","Synthesis of ornithine from glutamine","AMINO ACIDS METABOLISM","ORNITHINE METABOLISM",0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1
"120","Synthesis of spermidine from ornithine","AMINO ACIDS METABOLISM","ORNITHINE METABOLISM",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"121","Serine synthesis","AMINO ACIDS METABOLISM","SERINE METABOLISM",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"122","Serine degradation","AMINO ACIDS METABOLISM","SERINE METABOLISM",1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1
"124","Phenylalanine degradation","AMINO ACIDS METABOLISM","PHENYLALANINE METABOLISM",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"125","Phenylalanine to phenylacetaldehyde","AMINO ACIDS METABOLISM","PHENYLALANINE METABOLISM",1,1,0,0,0,1,1,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0
"126","Phenylalanine to phenylacetyl-L-glutaminate","AMINO ACIDS METABOLISM","PHENYLALANINE METABOLISM",1,1,0,0,0,1,1,0,1,1,0,0,1,1,1,0,0,0,1,1,1,1,0,1,1,1,0,1,0,0,0,1
"127","Phenylalanine to tyrosine","AMINO ACIDS METABOLISM","PHENYLALANINE METABOLISM",0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"128","Proline synthesis","AMINO ACIDS METABOLISM","PROLINE METABOLISM",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"129","Proline degradation","AMINO ACIDS METABOLISM","PROLINE METABOLISM",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"130","Synthesis of proline from glutamine","AMINO ACIDS METABOLISM","PROLINE METABOLISM",1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1
"132","Threonine degradation","AMINO ACIDS METABOLISM","THREONINE METABOLISM",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"134","Tryptophan degradation","AMINO ACIDS METABOLISM","TRYPTOPHAN METABOLISM",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"135","Synthesis of anthranilate from tryptophan","AMINO ACIDS METABOLISM","TRYPTOPHAN METABOLISM",0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
"136","Synthesis of kynate from tryptophan","AMINO ACIDS METABOLISM","TRYPTOPHAN METABOLISM",0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
"137","Synthesis of L-kynurenine from tryptophan","AMINO ACIDS METABOLISM","TRYPTOPHAN METABOLISM",0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
"138","Synthesis of N-formylanthranilate from tryptophan","AMINO ACIDS METABOLISM","TRYPTOPHAN METABOLISM",0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1
"139","Synthesis of quinolinate from tryptophan","AMINO ACIDS METABOLISM","TRYPTOPHAN METABOLISM",0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1
"140","Synthesis of serotonin from tryptophan","AMINO ACIDS METABOLISM","TRYPTOPHAN METABOLISM",0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
"142","Tyrosine synthesis (need phenylalanine)","AMINO ACIDS METABOLISM","TYROSINE METABOLISM",0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"143","Tyrosine degradation","AMINO ACIDS METABOLISM","TYROSINE METABOLISM",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"144","Tyrosine to adrenaline","AMINO ACIDS METABOLISM","TYROSINE METABOLISM",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"145","Tyrosine to dopamine","AMINO ACIDS METABOLISM","TYROSINE METABOLISM",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"146","Tyrosine to acetoacetate and fumarate","AMINO ACIDS METABOLISM","TYROSINE METABOLISM",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"148","Valine degradation","AMINO ACIDS METABOLISM","VALINE METABOLISM",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"149","Valine to succinyl-coA","AMINO ACIDS METABOLISM","VALINE METABOLISM",1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,0,1,1,0,1,1,1,1,1
"150","Hydroxymethylglutaryl-CoA synthesis","LIPIDS METABOLISM","CHOLESTEROL METABOLISM",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"151","Cholesterol synthesis","LIPIDS METABOLISM","CHOLESTEROL METABOLISM",1,1,0,0,1,1,1,0,1,1,0,0,1,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,0
"152","Acetoacetate synthesis","LIPIDS METABOLISM","CHOLESTEROL METABOLISM",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"153","Mevalonate synthesis","LIPIDS METABOLISM","CHOLESTEROL METABOLISM",0,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,0,0
"154","Farnesyl-pyrophosphate synthesis","LIPIDS METABOLISM","CHOLESTEROL METABOLISM",0,1,1,0,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,1,1,1,0,1,1,1,1,1,0
"155","Glycerol-3-phosphate synthesis","LIPIDS METABOLISM","GLYCEROPHOSPHOLIPID METABOLISM",1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
"156","Phosphatidyl-choline synthesis","LIPIDS METABOLISM","GLYCEROPHOSPHOLIPID METABOLISM",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"157","Phosphatidyl-ethanolamine synthesis","LIPIDS METABOLISM","GLYCEROPHOSPHOLIPID METABOLISM",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"158","Phosphatidyl-serine synthesis","LIPIDS METABOLISM","GLYCEROPHOSPHOLIPID METABOLISM",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"159","Phosphatidyl-inositol synthesis","LIPIDS METABOLISM","GLYCEROPHOSPHOLIPID METABOLISM",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"160","Cardiolipin synthesis","LIPIDS METABOLISM","GLYCEROPHOSPHOLIPID METABOLISM",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"161","Triacylglycerol synthesis","LIPIDS METABOLISM","TRIACYLGLYCEROL METABOLISM",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"162","Sphingomyelin synthesis","LIPIDS METABOLISM","SPHINGOLIPID METABOLISM",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"163","Ceramide synthesis","LIPIDS METABOLISM","SPHINGOLIPID METABOLISM",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"164","Palmitate synthesis","LIPIDS METABOLISM","FATTY ACID METABOLISM",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"165","Palmitate degradation","LIPIDS METABOLISM","FATTY ACID METABOLISM",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"166","Palmitolate synthesis","LIPIDS METABOLISM","FATTY ACID METABOLISM",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"167","Palmitolate degradation","LIPIDS METABOLISM","FATTY ACID METABOLISM",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"168","cis-vaccenic acid synthesis","LIPIDS METABOLISM","FATTY ACID METABOLISM",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"169","cis-vaccenic acid degradation","LIPIDS METABOLISM","FATTY ACID METABOLISM",1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
"170","Elaidate synthesis","LIPIDS METABOLISM","FATTY ACID METABOLISM",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"171","Elaidate degradation","LIPIDS METABOLISM","FATTY ACID METABOLISM",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"173","Linolenate degradation","LIPIDS METABOLISM","FATTY ACID METABOLISM",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"175","Linoleate degradation","LIPIDS METABOLISM","FATTY ACID METABOLISM",1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"176","gamma-Linolenate synthesis","LIPIDS METABOLISM","FATTY ACID METABOLISM",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1
"177","gamma-Linolenate degradation","LIPIDS METABOLISM","FATTY ACID METABOLISM",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"178","Arachidonate synthesis","LIPIDS METABOLISM","FATTY ACID METABOLISM",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"179","Arachidonate degradation","LIPIDS METABOLISM","FATTY ACID METABOLISM",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"180","Synthesis of malonyl-coa","LIPIDS METABOLISM","FATTY ACID METABOLISM",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"181","Synthesis of palmitoyl-CoA","LIPIDS METABOLISM","FATTY ACID METABOLISM",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"182","Taurochenodeoxycholate synthesis","LIPIDS METABOLISM","BILE ACID SYNTHESIS",1,1,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,0,1,0,1,1,1
"183","Glycochenodeoxycholate synthesis","LIPIDS METABOLISM","BILE ACID SYNTHESIS",1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0,1,1,1
"184","tauro-cholate synthesis","LIPIDS METABOLISM","BILE ACID SYNTHESIS",0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"185","glyco-cholate synthesis","LIPIDS METABOLISM","BILE ACID SYNTHESIS",0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"186","Synthesis of thromboxane from arachidonate","LIPIDS METABOLISM","EICOSANOID METABOLISM",1,0,1,1,0,1,0,0,1,1,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,1,1,1,0,0,0,1
"187","Synthesis of galactosyl glucosyl ceramide (link with ganglioside metabolism)","LIPIDS METABOLISM","GANGLIOSIDE METABOLISM",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"188","Synthesis of glucocerebroside","LIPIDS METABOLISM","GANGLIOSIDE METABOLISM",1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1
"189","Synthesis of globoside (link with globoside metabolism)","LIPIDS METABOLISM","GLOBOSIDE METABOLISM",1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1
"190","NAD synthesis from nicotinamide","VITAMIN & COFACTOR METABOLISM","COENZYME NAD BIOSYNTHESIS",1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,1,0,1
"191","FAD synthesis","VITAMIN & COFACTOR METABOLISM","COENZYME FAD BIOSYNTHESIS",0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,1,1,1
"192","Synthesis of coenzyme A","VITAMIN & COFACTOR METABOLISM","COENZYME A BIOSYNTHESIS",1,1,1,0,0,1,1,0,1,1,0,0,1,1,1,1,0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1
"193","Synthesis of ubiquinone from tyrosine","VITAMIN & COFACTOR METABOLISM","UBIQUINONE 10 BIOSYNTHESIS",0,1,0,0,0,1,1,0,1,1,0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1,1
"194","Tetrahydrofolate synthesis","VITAMIN & COFACTOR METABOLISM","FOLATE METABOLISM",1,0,1,1,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0
"195","Pyridoxal-phosphate synthesis","VITAMIN & COFACTOR METABOLISM","VITAMIN B6 METABOLISM",1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,0,1,1,0,0,1,1,0,1,1,1,1,1
"196","Synthesis of bilirubin","VITAMIN & COFACTOR METABOLISM","HEME METABOLISM",1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"197","Heme synthesis","VITAMIN & COFACTOR METABOLISM","HEME METABOLISM",0,1,0,1,1,1,1,0,0,1,1,1,1,1,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,1,0,0
"198","Phosphatidyl-inositol to glucosaminyl-acylphosphatidylinositol","VITAMIN & COFACTOR METABOLISM","GPI ANCHOR BIOSYNTHESIS",0,1,1,1,0,0,0,1,0,1,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,0
"199","Glucosaminyl-acylphosphatidylinositoll to deacylated-glycophosphatidylinositol (GPI)-anchored protein","GLYCAN METABOLISM","GPI ANCHOR BIOSYNTHESIS",0,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,1,1,1,1
"200","Degradation of n2m2nmasn","GLYCAN METABOLISM","N-GLYCAN METABOLISM",1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1
"203","Degradation of s2l2fn2m2masn","GLYCAN METABOLISM","N-GLYCAN METABOLISM",1,1,1,1,0,1,1,0,0,1,1,0,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"204","Biosynthesis of core2 (beta-D-Galactosyl-1,3-(N-acetyl-beta-D-glucosaminyl-1,6)-N-acetyl-D-galactosaminyl-R)","GLYCAN METABOLISM","O-GLYCAN METABOLISM",1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1
"205","Biosynthesis of core4 (N-Acetyl-beta-D-glucosaminyl-1,6-(N-acetyl-beta-D-glucosaminyl-1,3)-N-acetyl-D-galactosaminyl-R)","GLYCAN METABOLISM","O-GLYCAN METABOLISM",0,0,1,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
"206","Biosynthesis of Tn_antigen (Glycoprotein N-acetyl-D-galactosamine)","GLYCAN METABOLISM","O-GLYCAN METABOLISM",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"207","Keratan sulfate biosynthesis from O-glycan (core 2-linked)","GLYCAN METABOLISM","KERATAN SULFATE METABOLISM",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"208","Keratan sulfate biosynthesis from O-glycan (core 4-linked)","GLYCAN METABOLISM","KERATAN SULFATE METABOLISM",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"209","Keratan sulfate degradation","GLYCAN METABOLISM","KERATAN SULFATE METABOLISM",1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"210","Keratan sulfate biosynthesis from N-glycan","GLYCAN METABOLISM","KERATAN SULFATE METABOLISM",1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
